open,high,low,close,volume,dividend
158.77999877929688,160.72999572753906,158.3300018310547,160.6199951171875,22622100,0.0
158.32000732421875,159.9499969482422,158.05999755859375,158.6199951171875,21116200,0.0
157.0800018310547,159.10000610351562,156.50999450683594,159.02999877929688,20813700,0.0
159.32000732421875,159.6699981689453,157.32000732421875,157.5800018310547,21634100,0.0
158.92999267578125,160.8000030517578,157.9499969482422,160.08999633789062,27746500,0.0
161.83999633789062,162.22000122070312,161.02999877929688,162.08999633789062,21385000,0.0
162.82000732421875,163.22000122070312,161.17999267578125,161.33999633789062,20725900,0.0
161.75999450683594,163.30999755859375,161.25999450683594,163.27999877929688,21626500,0.0
163.38999938964844,163.60000610351562,161.72000122070312,162.1300048828125,23477400,0.0
162.6199951171875,163.94000244140625,162.57000732421875,163.17999267578125,21417900,0.0
164.35000610351562,166.24000549316406,164.02999877929688,166.1699981689453,23865400,0.0
167.4199981689453,167.47000122070312,165.42999267578125,167.10000610351562,34371700,0.0
166.67999267578125,168.19000244140625,166.42999267578125,166.5,29517200,0.0
167.39999389648438,167.49000549316406,165.67999267578125,165.6999969482422,24138800,0.0
166.19000244140625,166.8000030517578,165.27000427246094,166.72000122070312,19680800,0.0
167.50999450683594,167.52999877929688,164.4499969482422,165.0399932861328,24918100,0.0
161.14999389648438,163.3800048828125,160.1999969482422,162.27999877929688,32078100,0.0
163.77999877929688,165.75999450683594,163.07000732421875,165.4600067138672,24899900,0.0
167.83999633789062,168.75,165.69000244140625,168.0399932861328,34754500,0.0
174.0500030517578,174.0500030517578,170.7899932861328,172.77999877929688,51597500,0.0
172.2100067138672,172.39999389648438,169.5800018310547,170.22999572753906,36142700,0.0
170.42999267578125,174.5,170.39999389648438,174.3800048828125,30107000,0.0
177.13999938964844,180.63999938964844,176.30999755859375,180.1199951171875,36433300,0.0
184.02999877929688,184.1999969482422,178.41000366210938,179.89999389648438,39186300,0.0
180.97000122070312,183.82000732421875,180.05999755859375,183.6300048828125,27751400,0.0
182.85000610351562,185.6300048828125,182.47999572753906,183.88999938964844,33529100,0.0
183.5800018310547,188.83999633789062,183.25,188.6999969482422,35844300,0.0
190.64999389648438,190.6999969482422,183.5,184.44000244140625,53159900,0.0
185.5800018310547,185.85000610351562,181.85000610351562,184.7100067138672,47062900,0.0
183.0800018310547,186.22999572753906,182.8699951171875,183.7100067138672,35295800,0.0
183.25,185.41000366210938,182.64999389648438,185.35000610351562,23149500,0.0
185.61000061035156,187.6999969482422,185.5,187.22999572753906,27792200,0.0
188.05999755859375,188.17999267578125,186.47000122070312,187.27999877929688,29997500,0.51
